URL,letter,primary_color,secondary_colors,class,is_error,error_type,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_082_V_TC_46/1822,1192,297,710/pct:40/0/default.jpg",I,red,blue,D,,,10,82 V,1822,1192,297,710,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_084_R_TC_46/2130,4612,155,1337/pct:40/0/default.jpg",T,blue,red,D,,,10,84 R,2130,4612,155,1337,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_089_V_TC_46/3627,1082,372,1650/pct:40/0/default.jpg",I,red,blue,D,,,10,89 V,3627,1082,372,1650,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_091_V_TC_46/1657,725,315,1127/pct:40/0/default.jpg",I,red,blue,D,,,10,91 V,1657,725,315,1127,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_091_V_TC_46/3627,5580,252,652/pct:40/0/default.jpg",I,red,blue,D,,,10,91 V,3627,5580,252,652,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_095_R_TC_46/1842,5830,355,2000/pct:40/0/default.jpg",,,,,T,MC,10,95 R,1842,5830,355,2000,Two LN visible
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_100_R_TC_46/2082,1442,252,1132/pct:40/0/default.jpg",N,blue,red,D,,,10,100 R,2082,1442,252,1132,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_102_V_TC_46/3742,2295,217,427/pct:40/0/default.jpg",S,blue,red,D,,,10,102 V,3742,2295,217,427,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_106_R_TC_46/2100,1392,222,370/pct:40/0/default.jpg",S,blue,red,D,,,10,106 R,2100,1392,222,370,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_107_R_TC_46/1872,5195,495,1370/pct:40/0/default.jpg",N,red,blue,D,,,10,107 R,1872,5195,495,1370,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_132_R_TC_46/1887,732,360,1545/pct:40/0/default.jpg",J,blue,red,D,,,10,132 R,1887,732,360,1545,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_133_R_TC_46/1222,3950,722,372/pct:40/0/default.jpg",,,,,T,,10,133 R,1222,3950,722,372,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_133_V_TC_46/3675,2342,347,945/pct:40/0/default.jpg",N,blue,red,D,,,10,133 V,3675,2342,347,945,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_136_V_TC_46/1725,3130,247,397/pct:40/0/default.jpg",S,blue,red,D,,,10,136 V,1725,3130,247,397,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_137_R_TC_46/1855,4647,270,1517/pct:40/0/default.jpg",J,red,blue,D,,,10,137 R,1855,4647,270,1517,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_145_V_TC_46/1867,7155,270,1080/pct:40/0/default.jpg",Q,blue,red,D,,,10,145 V,1867,7155,270,1080,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_147_V_TC_46/3540,5857,370,1562/pct:40/0/default.jpg",I,blue,red,D,,,10,147 V,3540,5857,370,1562,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_150_V_TC_46/1727,3372,422,980/pct:40/0/default.jpg",H,blue,red,D,,,10,150 V,1727,3372,422,980,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_158_V_TC_46/1572,3165,390,2077/pct:40/0/default.jpg",I,blue,red,D,,,10,158 V,1572,3165,390,2077,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_175_V_TC_46/3545,6242,565,2292/pct:40/0/default.jpg",T,red,blue,D,,,10,175 V,3545,6242,565,2292,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_176_V_TC_46/1775,4365,450,1295/pct:40/0/default.jpg",Q,blue,red,D,,,10,176 V,1775,4365,450,1295,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_177_V_TC_46/1845,6672,367,590/pct:40/0/default.jpg",K,blue,red,D,,,10,177 V,1845,6672,367,590,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_184_R_TC_46/2150,2722,332,560/pct:40/0/default.jpg",A,blue,red,D,,,10,184 R,2150,2722,332,560,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_188_V_TC_46/1602,5015,335,3367/pct:40/0/default.jpg",I,red,blue,D,,,10,188 V,1602,5015,335,3367,Multiple lenghty tails
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_201_R_TC_46/3932,5812,462,1827/pct:40/0/default.jpg",,,,,T,IN,10,201 R,3932,5812,462,1827,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_201_V_TC_46/3835,2762,407,640/pct:40/0/default.jpg",D,blue,red,D,,,10,201 V,3835,2762,407,640,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_202_R_TC_46/470,4602,287,702/pct:40/0/default.jpg",D,blue,red,D,,,10,202 R,470,4602,287,702,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_202_V_TC_46/2000,1722,272,440/pct:40/0/default.jpg",E,blue,red,D,,,10,202 V,2000,1722,272,440,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_209_R_TC_46/2075,972,647,365/pct:40/0/default.jpg",Q,blue,red,D,,,10,209 R,2075,972,647,365,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_209_V_TC_46/3835,1922,340,522/pct:40/0/default.jpg",D,blue,red,D,,,10,209 V,3835,1922,340,522,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_211_R_TC_46/3860,1370,240,1112/pct:40/0/default.jpg",,,,,T,NL,10,211 R,3860,1370,240,1112,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_220_V_TC_46/1587,2212,332,1362/pct:40/0/default.jpg",,,,,T,MC,10,220 V,1587,2212,332,1362,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_222_R_TC_46/2107,4347,455,1375/pct:40/0/default.jpg",Q,blue,red,D,,,10,222 R,2107,4347,455,1375,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_225_R_TC_46/1847,5832,557,1195/pct:40/0/default.jpg",,,,,T,MC,10,225 R,1847,5832,557,1195,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_232_R_TC_46/2177,580,450,630/pct:40/0/default.jpg",N,blue,red,D,,,10,232 R,2177,580,450,630,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_236_V_TC_46/3820,1137,712,427/pct:40/0/default.jpg",Q,blue,red,D,,,10,236 V,3820,1137,712,427,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_244_R_TC_46/497,1242,310,362/pct:40/0/default.jpg",S,blue,red,D,,,10,244 R,497,1242,310,362,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_258_R_TC_46/2087,3782,427,515/pct:40/0/default.jpg",N,blue,red,D,,,10,258 R,2087,3782,427,515,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_259_R_TC_46/2010,3682,267,440/pct:40/0/default.jpg",S,blue,red,D,,,10,259 R,2010,3682,267,440,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_261_R_TC_46/412,5300,1155,1567/pct:40/0/default.jpg",S,blue,red; gold; green,L,,,10,261 R,412,5300,1155,1567,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_265_V_TC_46/3535,2612,490,2120/pct:40/0/default.jpg",M,blue,red,D,,,10,265 V,3535,2612,490,2120,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_265_V_TC_46/3605,5200,367,692/pct:40/0/default.jpg",P,red,blue,D,,,10,265 V,3605,5200,367,692,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_267_R_TC_46/1977,1707,360,570/pct:40/0/default.jpg",P,red,blue,D,,,10,267 R,1977,1707,360,570,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_267_V_TC_46/1665,1200,477,1215/pct:40/0/default.jpg",N,red,blue,D,,,10,267 V,1665,1200,477,1215,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_272_V_TC_46/1740,1587,362,795/pct:40/0/default.jpg",N,red,blue,D,,,10,272 V,1740,1587,362,795,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_272_V_TC_46/3242,6872,800,960/pct:40/0/default.jpg",A,red,blue,D,,,10,272 V,3242,6872,800,960,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_273_V_TC_46/3795,6120,227,377/pct:40/0/default.jpg",S,blue,red,D,,,10,273 V,3795,6120,227,377,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_281_V_TC_46/2307,1707,1380,552/pct:40/0/default.jpg",,,,,T,IN,10,281 V,2307,1707,1380,552,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_281_V_TC_46/3650,5780,435,770/pct:40/0/default.jpg",N,red,blue,D,,,10,281 V,3650,5780,435,770,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_282_V_TC_46/3762,5300,287,430/pct:40/0/default.jpg",S,blue,red,D,,,10,282 V,3762,5300,287,430,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_287_V_TC_46/1552,2820,650,1270/pct:40/0/default.jpg",A,blue,red,D,,,10,287 V,1552,2820,650,1270,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_295_V_TC_46/1667,1912,365,1007/pct:40/0/default.jpg",I,red,blue,D,,,10,295 V,1667,1912,365,1007,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_297_R_TC_46/322,6590,437,1247/pct:40/0/default.jpg",N,red,blue,D,,,10,297 R,322,6590,437,1247,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_298_R_TC_46/1992,3172,360,665/pct:40/0/default.jpg",H,blue,red,D,,,10,298 R,1992,3172,360,665,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_305_V_TC_46/3360,5657,662,3440/pct:40/0/default.jpg",Q,red,blue,D,,,10,305 V,3360,5657,662,3440,Multiple lengthy tails
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_328_R_TC_46/457,3267,265,340/pct:40/0/default.jpg",O,red,blue,D,,,10,328 R,457,3267,265,340,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_328_V_TC_46/1812,962,312,392/pct:40/0/default.jpg",E,red,blue,D,,,10,328 V,1812,962,312,392,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_333_V_TC_46/3465,4200,1735,4270/pct:40/0/default.jpg",F,multi,gold; blue; green; red,L,,,10,333 V,3465,4200,1735,4270,inhabited/hitoriated
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_334_V_TC_46/3565,2292,360,602/pct:40/0/default.jpg",D,blue,red,D,,,10,334 V,3565,2292,360,602,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_335_V_TC_46/1757,2422,340,1342/pct:40/0/default.jpg",P,red,blue,D,,,10,335 V,1757,2422,340,1342,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_336_R_TC_46/422,4597,182,350/pct:40/0/default.jpg",S,blue,red,D,,,10,336 R,422,4597,182,350,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_339_R_TC_46/2100,6355,277,1397/pct:40/0/default.jpg",I,blue,red,D,,,10,339 R,2100,6355,277,1397,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_341_V_TC_46/1620,2365,347,942/pct:40/0/default.jpg",I,blue,red,D,,,10,341 V,1620,2365,347,942,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_341_V_TC_46/1810,4560,250,402/pct:40/0/default.jpg",S,red,blue,D,,,10,341 V,1810,4560,250,402,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_342_R_TC_46/2070,1835,297,1980/pct:40/0/default.jpg",I,blue,red,D,,,10,342 R,2070,1835,297,1980,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_344_R_TC_46/2335,2640,457,390/pct:40/0/default.jpg",C,red,blue,D,,,10,344 R,2335,2640,457,390,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_344_R_TC_46/425,3375,290,415/pct:40/0/default.jpg",N,blue,red,D,,,10,344 R,425,3375,290,415,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_346_R_TC_46/2275,5705,352,492/pct:40/0/default.jpg",S,blue,red,D,,,10,346 R,2275,5705,352,492,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_346_V_TC_46/1647,1562,582,1937/pct:40/0/default.jpg",,,,,T,MC,10,346 V,1647,1562,582,1937,2 distinct LN
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_348_R_TC_46/627,810,275,402/pct:40/0/default.jpg",E,blue,red,D,,,10,348 R,627,810,275,402,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_350_R_TC_46/505,5420,587,340/pct:40/0/default.jpg",D,blue,red,D,,,10,350 R,505,5420,587,340,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_352_V_TC_46/1342,6605,917,1727/pct:40/0/default.jpg",A,red,blue,D,,,10,352 V,1342,6605,917,1727,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_353_V_TC_46/3792,2685,325,390/pct:40/0/default.jpg",E,blue,red,D,,,10,353 V,3792,2685,325,390,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_355_V_TC_46/3745,5017,407,480/pct:40/0/default.jpg",R,blue,red,D,,,10,355 V,3745,5017,407,480,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_357_R_TC_46/2527,1240,227,345/pct:40/0/default.jpg",S,blue,red,D,,,10,357 R,2527,1240,227,345,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_360_V_TC_46/1775,5972,385,730/pct:40/0/default.jpg",P,blue,red,D,,,10,360 V,1775,5972,385,730,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_029_V_TC_46/3892,3250,897,1397/pct:40/0/default.jpg",S,blue,red; green; yellow,M,,,11,29 V,3892,3250,897,1397,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_033_V_TC_46/1395,580,1660,1660/pct:40/0/default.jpg",U,blue,red; green,M,,,11,33 V,1395,580,1660,1660,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_066_R_TC_46/2,6145,985,1587/pct:40/0/default.jpg",A,blue,red,D,,,11,66 R,2,6145,985,1587,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_097_R_TC_46/2005,3122,1357,1847/pct:40/0/default.jpg",A,blue,red,M,,,11,97 R,2005,3122,1357,1847,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_101_R_TC_46/2,5362,527,865/pct:40/0/default.jpg",T,blue,red,D,,,11,101 R,2,5362,527,865,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_104_V_TC_46/1457,715,1085,1060/pct:40/0/default.jpg",N,red,blue,M,,,11,104 V,1457,715,1085,1060,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_108_R_TC_46/2,1552,415,845/pct:40/0/default.jpg",T,blue,red,D,,,11,108 R,2,1552,415,845,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_110_R_TC_46/2,1442,750,1012/pct:40/0/default.jpg",F,blue,red,M,,,11,110 R,2,1442,750,1012,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_112_V_TC_46/2815,5580,2097,1835/pct:40/0/default.jpg",A,red,blue,M,,,11,112 V,2815,5580,2097,1835,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_113_R_TC_46/2350,3832,902,1172/pct:40/0/default.jpg",S,red,blue,M,,,11,113 R,2350,3832,902,1172,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_120_R_TC_46/2,2075,755,997/pct:40/0/default.jpg",O,blue,red,M,,,11,120 R,2,2075,755,997,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_134_V_TC_46/1417,1890,625,937/pct:40/0/default.jpg",A,red,blue,D,,,11,134 V,1417,1890,625,937,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_154_V_TC_46/1387,857,1040,2172/pct:40/0/default.jpg",Q,blue,red,M,,,11,154 V,1387,857,1040,2172,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_200_R_TC_46/2042,6340,605,570/pct:40/0/default.jpg",L,blue,red,D,,,11,200 R,2042,6340,605,570,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_218_R_TC_46/2395,2922,882,985/pct:40/0/default.jpg",C,blue,red,M,,,11,218 R,2395,2922,882,985,
"https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_050_R_TC_46/2,1117,712,600/pct:40/0/default.jpg",D,green,red,M,,,130,50 R,2,1117,712,600,
"https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_119_R_TC_46/105,1742,197,372/pct:40/0/default.jpg",,,,,T,MC,130,119 R,105,1742,197,372,
"https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_167_V_TC_46/867,3835,865,982/pct:40/0/default.jpg",A,green,red,M,,,130,167 V,867,3835,865,982,
"https://stacks.stanford.edu/image/iiif/nd020zt5485%2F131_125_V_TC_46/3395,2525,315,600/pct:40/0/default.jpg",M,green,,S,,,131,125 V,3395,2525,315,600,
"https://stacks.stanford.edu/image/iiif/gc974js8368%2F135_iii_R_TC_46/215,1590,455,535/pct:40/0/default.jpg",Q,blue,,D,,,135,iii R,215,1590,455,535,
"https://stacks.stanford.edu/image/iiif/sb986nn5729%2F136_118_R_TC_46/67,2160,230,442/pct:40/0/default.jpg",P,red,blue,D,,,136,118 R,67,2160,230,442,
"https://stacks.stanford.edu/image/iiif/qj220gv8417%2F139_88_R_TC_46/22,5150,445,797/pct:40/0/default.jpg",,,,,T,MC,139,88 R,22,5150,445,797,
"https://stacks.stanford.edu/image/iiif/qt747ct6627%2F161_115_R_TC_46/1685,3657,850,527/pct:40/0/default.jpg",A,blue,,S,,,161,115 R,1685,3657,850,527,
"https://stacks.stanford.edu/image/iiif/qt747ct6627%2F161_131_R_TC_46/222,1930,712,447/pct:40/0/default.jpg",R,yellow,blue; green; yellow,D,,,161,131 R,222,1930,712,447,
"https://stacks.stanford.edu/image/iiif/qt747ct6627%2F161_134_R_TC_46/1542,707,337,352/pct:40/0/default.jpg",C,blue,,S,T,,161,134 R,1542,707,337,352,
"https://stacks.stanford.edu/image/iiif/qt747ct6627%2F161_33_R_TC_46/1565,3400,455,547/pct:40/0/default.jpg",E,yellow,blue; green; red,M,,,161,33 R,1565,3400,455,547,
"https://stacks.stanford.edu/image/iiif/qt747ct6627%2F161_34_R_TC_46/70,2012,532,2317/pct:40/0/default.jpg",F,green,yellow,M,,,161,34 R,70,2012,532,2317,
"https://stacks.stanford.edu/image/iiif/qt747ct6627%2F161_47_V_TC_46/570,2572,750,757/pct:40/0/default.jpg",T,red,blue; green; yellow,M,,,161,47 V,570,2572,750,757,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_003_R_TC_46/2652,3875,382,642/pct:40/0/default.jpg",E,red,blue,D,,,16II,3 R,2652,3875,382,642,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_013_R_TC_46/257,3502,550,1247/pct:40/0/default.jpg",A,red,blue,D,,,16II,13 R,257,3502,550,1247,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_014_V_TC_46/3300,2587,475,1105/pct:40/0/default.jpg",H,red,blue,D,,,16II,14 V,3300,2587,475,1105,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_015_R_TC_46/262,4032,285,837/pct:40/0/default.jpg",P,blue,red,D,,,16II,15 R,262,4032,285,837,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_018_V_TC_46/3250,4212,395,630/pct:40/0/default.jpg",H,red,blue,D,,,16II,18 V,3250,4212,395,630,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_028_V_TC_46/3202,3335,480,750/pct:40/0/default.jpg",D,red,blue,D,,,16II,28 V,3202,3335,480,750,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_029_R_TC_46/2560,6412,492,1037/pct:40/0/default.jpg",P,blue,red,D,,,16II,29 R,2560,6412,492,1037,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_038_V_FLP_O_TC_46/3622,4562,457,1415/pct:40/0/default.jpg",H,blue,red,D,,,16II,38 V,3622,4562,457,1415,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_039_R_TC_46/2557,5017,422,1242/pct:40/0/default.jpg",U,blue,red,D,,,16II,39 R,2557,5017,422,1242,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_049_R_TC_46/157,2962,330,680/pct:40/0/default.jpg",C,red,,D,,,16II,49 R,157,2962,330,680,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_058_V_TC_46/5300,7167,165,475/pct:40/0/default.jpg",,,,,T,NL,16II,58 V,5300,7167,165,475,cool marginal drawing of horsesand soldiers in a battle
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_059_R_TC_46/2490,345,415,1095/pct:40/0/default.jpg",N,red,blue,D,,,16II,59 R,2490,345,415,1095,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_060_V_TC_46/3352,6012,450,1240/pct:40/0/default.jpg",C,blue,red,D,,,16II,60 V,3352,6012,450,1240,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_063_V_TC_46/1267,3945,367,1120/pct:40/0/default.jpg",E,red,blue,D,,,16II,63 V,1267,3945,367,1120,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_066_V_TC_46/975,1450,557,2072/pct:40/0/default.jpg",H,red,blue,D,,,16II,66 V,975,1450,557,2072,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_067_R_TC_46/2375,5287,457,1315/pct:40/0/default.jpg",R,blue,red,D,,,16II,67 R,2375,5287,457,1315,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_070_R_TC_46/192,3020,235,532/pct:40/0/default.jpg",N,red,red,D,,,16II,70 R,192,3020,235,532,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_087_V_TC_46/1097,5125,447,1030/pct:40/0/default.jpg",P,blue,red,D,,,16II,87 V,1097,5125,447,1030,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_094_V_TC_46/3252,4127,452,1077/pct:40/0/default.jpg",L,blue,red,D,,,16II,94 V,3252,4127,452,1077,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_101_R_TC_46/242,3427,200,680/pct:40/0/default.jpg",E,blue,red,D,,,16II,101 R,242,3427,200,680,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_109_V_TC_46/1147,4662,370,1182/pct:40/0/default.jpg",E,blue,red,D,,,16II,109 V,1147,4662,370,1182,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_116_R_TC_46/177,3002,290,505/pct:40/0/default.jpg",E,red,blue,D,,,16II,116 R,177,3002,290,505,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_119_R_TC_46/335,1945,337,1707/pct:40/0/default.jpg",,,,,T,MC,16II,119 R,335,1945,337,1707,Two distinct LN
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_119_R_TC_46/350,5097,307,995/pct:40/0/default.jpg",E,blue,red,D,,,16II,119 R,350,5097,307,995,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_119_V_TC_46/1145,4650,420,852/pct:40/0/default.jpg",E,blue,red,D,,,16II,119 V,1145,4650,420,852,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_122_V_TC_46/680,285,790,1827/pct:40/0/default.jpg",F,red,blue,D,,,16II,122 V,680,285,790,1827,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_124_V_TC_46/3292,2540,570,4075/pct:40/0/default.jpg",,,,,T,MC,16II,124 V,3292,2540,570,4075,Two LN visible
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_125_V_TC_46/1082,4700,500,3545/pct:40/0/default.jpg",F,blue,red,D,,,16II,125 V,1082,4700,500,3545,
