URL,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/pm029jd8386%2F364_ii_R_TC_46/1537,3510,1727,95/pct:40/0/default.jpg",,364,ii R,1537,3510,1727,95,
"https://stacks.stanford.edu/image/iiif/wz774ws7198%2F092_096_V_TC_46/4720,5602,315,140/pct:40/0/default.jpg",,92,96 V,4720,5602,315,140,
"https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_020_V_TC_46/765,4762,1350,110/pct:40/0/default.jpg",,321,20 V,765,4762,1350,110,
"https://stacks.stanford.edu/image/iiif/hg583np7605%2F186_48_R_TC_46/1265,2225,695,85/pct:40/0/default.jpg",,186,48 R,1265,2225,695,85,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_001_R_TC_46/3910,520,657,67/pct:40/0/default.jpg",,271,1 R,3910,520,657,67,
"https://stacks.stanford.edu/image/iiif/gs070yh9296%2F339_026_R_TC_46/1897,2285,562,107/pct:40/0/default.jpg",,339,26 R,1897,2285,562,107,
"https://stacks.stanford.edu/image/iiif/rf352tc5448%2F026_b_V_TC_46/4600,4497,210,57/pct:40/0/default.jpg",,26,b V,4600,4497,210,57,
"https://stacks.stanford.edu/image/iiif/vf742yx0561%2F062_42_V_TC_46/5080,1677,190,95/pct:40/0/default.jpg",,62,42 V,5080,1677,190,95,
"https://stacks.stanford.edu/image/iiif/qv912yv7154%2F229_60_V_TC_46/2660,5900,555,142/pct:40/0/default.jpg",,229,60 V,2660,5900,555,142,
"https://stacks.stanford.edu/image/iiif/vf742yx0561%2F062_42_V_TC_46/352,1395,972,115/pct:40/0/default.jpg",,62,42 V,352,1395,972,115,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_031_R_TC_46/2830,267,360,55/pct:40/0/default.jpg",,55,31 R,2830,267,360,55,
"https://stacks.stanford.edu/image/iiif/xr745mn3815%2F480_242_R_TC_46/990,775,942,97/pct:40/0/default.jpg",,480,242 R,990,775,942,97,
"https://stacks.stanford.edu/image/iiif/mq337vq8802%2F397_072_V_TC_46/3210,3580,1502,110/pct:40/0/default.jpg",,397,72 V,3210,3580,1502,110,
"https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_118_V_TC_46/2272,1012,427,92/pct:40/0/default.jpg",,130,118 V,2272,1012,427,92,
"https://stacks.stanford.edu/image/iiif/fz541vq7367%2F164_57_R_TC_46/2042,4767,250,90/pct:40/0/default.jpg",,164,57 R,2042,4767,250,90,
"https://stacks.stanford.edu/image/iiif/mq337vq8802%2F397_072_R_TC_46/825,3280,265,107/pct:40/0/default.jpg",,397,72 R,825,3280,265,107,
"https://stacks.stanford.edu/image/iiif/sn284rv5537%2F462_083_R_TC_46/855,3662,340,125/pct:40/0/default.jpg",,462,83 R,855,3662,340,125,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_196_R_TC_46/342,8272,1942,102/pct:40/0/default.jpg",,16II,196 R,342,8272,1942,102,
"https://stacks.stanford.edu/image/iiif/sk997cn6567%2F230_025_V_TC_46/3337,3117,855,175/pct:40/0/default.jpg",,230,25 V,3337,3117,855,175,
"https://stacks.stanford.edu/image/iiif/fs743fm9703%2F046_015a_R_TC_46/2960,4612,1527,95/pct:40/0/default.jpg",,46,15a R,2960,4612,1527,95,
"https://stacks.stanford.edu/image/iiif/hg583np7605%2F186_43_V_TC_46/125,1497,1032,80/pct:40/0/default.jpg",,186,43 V,125,1497,1032,80,
"https://stacks.stanford.edu/image/iiif/cg362wn0438%2F150_118_V_TC_46/4357,3595,1112,122/pct:40/0/default.jpg",,150,118 V,4357,3595,1112,122,
"https://stacks.stanford.edu/image/iiif/kb304wh5721%2F327_181_V_TC_46/2247,112,1410,150/pct:40/0/default.jpg",,327,181 V,2247,112,1410,150,
"https://stacks.stanford.edu/image/iiif/ky226pt1201%2F406_054_R_TC_46/312,4665,285,117/pct:40/0/default.jpg",,406,54 R,312,4665,285,117,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_226_R_TC_46/2262,6530,812,95/pct:40/0/default.jpg",,75,226 R,2262,6530,812,95,
"https://stacks.stanford.edu/image/iiif/hg583np7605%2F186_40_V_TC_46/222,660,950,87/pct:40/0/default.jpg",,186,40 V,222,660,950,87,
"https://stacks.stanford.edu/image/iiif/sk997cn6567%2F230_028_R_TC_46/2537,6632,925,107/pct:40/0/default.jpg",,230,28 R,2537,6632,925,107,
"https://stacks.stanford.edu/image/iiif/hv214nw9015%2F295_iii_V_TC_46/4815,6297,495,115/pct:40/0/default.jpg",,295,iii V,4815,6297,495,115,
"https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_225_R_TC_46/2927,2312,335,150/pct:40/0/default.jpg",,83,225 R,2927,2312,335,150,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_148_V_TC_46/3317,2542,357,100/pct:40/0/default.jpg",,49,148 V,3317,2542,357,100,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_013_R_TC_46/165,4697,277,112/pct:40/0/default.jpg",,10,13 R,165,4697,277,112,
"https://stacks.stanford.edu/image/iiif/vf742yx0561%2F062_10_R_TC_46/2690,4420,240,92/pct:40/0/default.jpg",,62,10 R,2690,4420,240,92,
"https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_174_V_TC_46/4155,3990,495,162/pct:40/0/default.jpg",,83,174 V,4155,3990,495,162,
"https://stacks.stanford.edu/image/iiif/bj009wm8755%2F111_330_TC_46/1282,5760,605,205/pct:40/0/default.jpg",,111,330,1282,5760,605,205,
"https://stacks.stanford.edu/image/iiif/fc862jh5847%2F309_78_V_TC_46/3397,7827,2262,215/pct:40/0/default.jpg",,309,78 V,3397,7827,2262,215,
"https://stacks.stanford.edu/image/iiif/ky226pt1201%2F406_129_R_TC_46/2640,955,237,90/pct:40/0/default.jpg",,406,129 R,2640,955,237,90,
"https://stacks.stanford.edu/image/iiif/mq337vq8802%2F397_036_V_TC_46/4707,2485,272,120/pct:40/0/default.jpg",,397,36 V,4707,2485,272,120,
"https://stacks.stanford.edu/image/iiif/fc862jh5847%2F309_68_V_TC_46/1267,8555,2280,180/pct:40/0/default.jpg",,309,68 V,1267,8555,2280,180,
"https://stacks.stanford.edu/image/iiif/jy445fd9276%2F277_120_V_TC_46/1872,2807,765,95/pct:40/0/default.jpg",,277,120 V,1872,2807,765,95,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_232_TC_46/4190,3962,725,137/pct:40/0/default.jpg",,51,232,4190,3962,725,137,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_045_R_TC_46/440,4670,297,75/pct:40/0/default.jpg",,75,45 R,440,4670,297,75,
"https://stacks.stanford.edu/image/iiif/jy445fd9276%2F277_75_R_TC_46/1415,4190,795,85/pct:40/0/default.jpg",,277,75 R,1415,4190,795,85,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_001_V_TC_46/1715,3577,297,117/pct:40/0/default.jpg",,271,1 V,1715,3577,297,117,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_223_V_TC_46/3235,3700,427,95/pct:40/0/default.jpg",,49,223 V,3235,3700,427,95,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_028_V_TC_46/1775,820,202,77/pct:40/0/default.jpg",,55,28 V,1775,820,202,77,
"https://stacks.stanford.edu/image/iiif/sn284rv5537%2F462_074_R_TC_46/1037,4027,312,122/pct:40/0/default.jpg",,462,74 R,1037,4027,312,122,
"https://stacks.stanford.edu/image/iiif/xr745mn3815%2F480_178_V_TC_46/1900,1610,615,110/pct:40/0/default.jpg",,480,178 V,1900,1610,615,110,
"https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_viii_V_TC_46/3152,4210,350,152/pct:40/0/default.jpg",,468,viii V,3152,4210,350,152,
"https://stacks.stanford.edu/image/iiif/hg583np7605%2F186_22_R_TC_46/2245,3377,392,82/pct:40/0/default.jpg",,186,22 R,2245,3377,392,82,
"https://stacks.stanford.edu/image/iiif/vx143vh9242%2F017_96_V_TC_46/1362,7897,1907,172/pct:40/0/default.jpg",,17,96 V,1362,7897,1907,172,
"https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_114_R_TC_46/4110,7002,692,222/pct:40/0/default.jpg",,511,114 R,4110,7002,692,222,
"https://stacks.stanford.edu/image/iiif/fn354xs7634%2F004_266_V_TC_46/4210,7147,1245,147/pct:40/0/default.jpg",,4,266 V,4210,7147,1245,147,
"https://stacks.stanford.edu/image/iiif/qd527zm3425%2F041_027_TC_46/165,5627,3360,190/pct:40/0/default.jpg",,41,27,165,5627,3360,190,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_054_TC_46/4777,6087,540,172/pct:40/0/default.jpg",,51,54,4777,6087,540,172,
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_104_R_TC_46/310,5092,470,187/pct:40/0/default.jpg",,269,104 R,310,5092,470,187,
"https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_113_R_TC_46/2552,2002,865,155/pct:40/0/default.jpg",,83,113 R,2552,2002,865,155,
"https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_001_R_TC_46/2767,4927,272,120/pct:40/0/default.jpg",,29,1 R,2767,4927,272,120,
"https://stacks.stanford.edu/image/iiif/pm029jd8386%2F364_073_V_TC_46/467,2587,747,145/pct:40/0/default.jpg",,364,73 V,467,2587,747,145,
"https://stacks.stanford.edu/image/iiif/jy663fr8353%2F404_iii_V_TC_46/3405,1597,447,182/pct:40/0/default.jpg",,404,iii V,3405,1597,447,182,
"https://stacks.stanford.edu/image/iiif/sk997cn6567%2F230_055_V_TC_46/3337,5240,1132,115/pct:40/0/default.jpg",,230,55 V,3337,5240,1132,115,
"https://stacks.stanford.edu/image/iiif/sk997cn6567%2F230_049_R_TC_46/1902,5517,1645,130/pct:40/0/default.jpg",,230,49 R,1902,5517,1645,130,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_167_R_TC_46/230,5330,785,120/pct:40/0/default.jpg",,271,167 R,230,5330,785,120,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_056_V_TC_46/3715,975,230,90/pct:40/0/default.jpg",,75,56 V,3715,975,230,90,
"https://stacks.stanford.edu/image/iiif/xq358rn9921%2F202_12_R_TC_46/3512,2342,732,162/pct:40/0/default.jpg",,202,12 R,3512,2342,732,162,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_357_V_TC_46/3360,6147,410,120/pct:40/0/default.jpg",,10,357 V,3360,6147,410,120,
"https://stacks.stanford.edu/image/iiif/mv340ty8592%2F383_024_R_TC_46/2447,3762,455,175/pct:40/0/default.jpg",,383,24 R,2447,3762,455,175,
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_215_V_TC_46/4445,1095,585,182/pct:40/0/default.jpg",,269,215 V,4445,1095,585,182,
"https://stacks.stanford.edu/image/iiif/kc116ss6676%2F442_076_TC_46/2262,5192,530,175/pct:40/0/default.jpg",,442,76,2262,5192,530,175,
"https://stacks.stanford.edu/image/iiif/rb296hb9129%2F214_039_V_TC_46/2230,2817,190,92/pct:40/0/default.jpg",,214,39 V,2230,2817,190,92,
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_xii_V_TC_46/1720,2875,550,107/pct:40/0/default.jpg",,22,xii V,1720,2875,550,107,
"https://stacks.stanford.edu/image/iiif/wx717zj2675%2F048_234_V_TC_46/730,2197,247,70/pct:40/0/default.jpg",,48,234 V,730,2197,247,70,
"https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_136_V_TC_46/4105,4640,565,155/pct:40/0/default.jpg",,83,136 V,4105,4640,565,155,
"https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_213_V_TC_46/4287,5785,385,165/pct:40/0/default.jpg",,83,213 V,4287,5785,385,165,
"https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_388_R_TC_46/2110,5395,1232,130/pct:40/0/default.jpg",,484,388 R,2110,5395,1232,130,
"https://stacks.stanford.edu/image/iiif/jy445fd9276%2F277_107_V_TC_46/2050,2682,622,87/pct:40/0/default.jpg",,277,107 V,2050,2682,622,87,
"https://stacks.stanford.edu/image/iiif/nz663nv2057%2F023_007_V_TC_46/2217,1585,352,77/pct:40/0/default.jpg",,23,7 V,2217,1585,352,77,
"https://stacks.stanford.edu/image/iiif/sb986nn5729%2F136_104_R_TC_46/2122,4042,605,65/pct:40/0/default.jpg",,136,104 R,2122,4042,605,65,
"https://stacks.stanford.edu/image/iiif/gf842rx6366%2F459_114_R_TC_46/2592,4340,1092,160/pct:40/0/default.jpg",,459,114 R,2592,4340,1092,160,
"https://stacks.stanford.edu/image/iiif/wg555fw2314%2F330_010_V_TC_46/70,2612,745,115/pct:40/0/default.jpg",,330,10 V,70,2612,745,115,
"https://stacks.stanford.edu/image/iiif/vn209hf3082%2F505_058_R_TC_46/1890,1367,625,75/pct:40/0/default.jpg",,505,58 R,1890,1367,625,75,
"https://stacks.stanford.edu/image/iiif/vx000hq8392%2F275_76_V_TC_46/935,4142,270,90/pct:40/0/default.jpg",,275,76 V,935,4142,270,90,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_121_TC_46/2100,2065,2007,130/pct:40/0/default.jpg",,51,121,2100,2065,2007,130,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_132_V_TC_46/477,1947,1415,107/pct:40/0/default.jpg",,271,132 V,477,1947,1415,107,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_60_R_TC_46/1812,7157,287,107/pct:40/0/default.jpg",,50,60 R,1812,7157,287,107,
"https://stacks.stanford.edu/image/iiif/kd968dg9386%2F042_53_V_TC_46/3827,6485,840,155/pct:40/0/default.jpg",,42,53 V,3827,6485,840,155,
"https://stacks.stanford.edu/image/iiif/jy445fd9276%2F277_91_V_TC_46/1927,2167,465,95/pct:40/0/default.jpg",,277,91 V,1927,2167,465,95,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_248_V_TC_46/3377,2377,220,100/pct:40/0/default.jpg",,75,248 V,3377,2377,220,100,
"https://stacks.stanford.edu/image/iiif/nh464gk4498%2F107_170_V_TC_46/1772,2085,245,85/pct:40/0/default.jpg",,107,170 V,1772,2085,245,85,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_197_V_TC_46/5362,6050,245,100/pct:40/0/default.jpg",,75,197 V,5362,6050,245,100,
"https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_011_V_TC_46/1637,6327,1555,130/pct:40/0/default.jpg",,511,11 V,1637,6327,1555,130,
"https://stacks.stanford.edu/image/iiif/xk876dn8316%2F485_ii_V_TC_46/2605,1832,760,207/pct:40/0/default.jpg",,485,ii V,2605,1832,760,207,
"https://stacks.stanford.edu/image/iiif/vp970qy1037%2F027_227_R_TC_46/3477,5600,622,117/pct:40/0/default.jpg",,27,227 R,3477,5600,622,117,
"https://stacks.stanford.edu/image/iiif/pm029jd8386%2F364_071_R_TC_46/2515,1575,805,142/pct:40/0/default.jpg",,364,71 R,2515,1575,805,142,
"https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_163_R_TC_46/1405,4645,605,97/pct:40/0/default.jpg",,130,163 R,1405,4645,605,97,
"https://stacks.stanford.edu/image/iiif/vf742yx0561%2F062_231_V_TC_46/1340,7270,1877,155/pct:40/0/default.jpg",,62,231 V,1340,7270,1877,155,
"https://stacks.stanford.edu/image/iiif/qt651bq6363%2F466_133_TC_46/1602,2095,362,170/pct:40/0/default.jpg",,466,133,1602,2095,362,170,
"https://stacks.stanford.edu/image/iiif/rb296hb9129%2F214_012_R_TC_46/1037,2975,180,80/pct:40/0/default.jpg",,214,12 R,1037,2975,180,80,
"https://stacks.stanford.edu/image/iiif/vv924dt3892%2F405_182_V_TC_46/2245,3015,455,127/pct:40/0/default.jpg",,405,182 V,2245,3015,455,127,
"https://stacks.stanford.edu/image/iiif/mq337vq8802%2F397_064_V_TC_46/3662,3210,1280,112/pct:40/0/default.jpg",,397,64 V,3662,3210,1280,112,
"https://stacks.stanford.edu/image/iiif/zp389vb9685%2F228_118_R_TC_46/2122,3110,567,142/pct:40/0/default.jpg",,228,118 R,2122,3110,567,142,
"https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_283_R_TC_46/1097,1870,165,77/pct:40/0/default.jpg",,437,283 R,1097,1870,165,77,
"https://stacks.stanford.edu/image/iiif/xq050qp5257%2F267_106_R_TC_46/2577,2097,225,105/pct:40/0/default.jpg",,267,106 R,2577,2097,225,105,
"https://stacks.stanford.edu/image/iiif/ck580gj8781%2F231_049_V_TC_46/2102,3342,1290,125/pct:40/0/default.jpg",,231,49 V,2102,3342,1290,125,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_90_R_TC_46/3615,2085,1292,160/pct:40/0/default.jpg",,50,90 R,3615,2085,1292,160,
"https://stacks.stanford.edu/image/iiif/fn354xs7634%2F004_035_R_TC_46/3680,5462,507,147/pct:40/0/default.jpg",,4,35 R,3680,5462,507,147,
"https://stacks.stanford.edu/image/iiif/zp389vb9685%2F228_090_V_TC_46/3520,2762,465,157/pct:40/0/default.jpg",,228,90 V,3520,2762,465,157,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_320_V_TC_46/3230,6202,252,100/pct:40/0/default.jpg",,49,320 V,3230,6202,252,100,
"https://stacks.stanford.edu/image/iiif/jy445fd9276%2F277_106_V_TC_46/1865,4582,762,75/pct:40/0/default.jpg",,277,106 V,1865,4582,762,75,
"https://stacks.stanford.edu/image/iiif/fn354xs7634%2F004_031_V_TC_46/5122,1375,632,132/pct:40/0/default.jpg",,4,31 V,5122,1375,632,132,
"https://stacks.stanford.edu/image/iiif/vf742yx0561%2F062_46_V_TC_46/3482,6625,695,67/pct:40/0/default.jpg",,62,46 V,3482,6625,695,67,
"https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_295_V_TC_46/2272,622,465,77/pct:40/0/default.jpg",,437,295 V,2272,622,465,77,
"https://stacks.stanford.edu/image/iiif/vf742yx0561%2F062_4_R_TC_46/2057,7025,1550,75/pct:40/0/default.jpg",,62,4 R,2057,7025,1550,75,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_260_R_TC_46/2915,4535,220,100/pct:40/0/default.jpg",,75,260 R,2915,4535,220,100,
"https://stacks.stanford.edu/image/iiif/gn055tc5638%2F300_3_V_TC_46/1250,3110,962,170/pct:40/0/default.jpg",,300,3 V,1250,3110,962,170,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_225_R_TC_46/3717,3592,342,97/pct:40/0/default.jpg",,75,225 R,3717,3592,342,97,
"https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_49_V_TC_46/4170,3457,527,155/pct:40/0/default.jpg",,83,49 V,4170,3457,527,155,
"https://stacks.stanford.edu/image/iiif/sg012cr8689%2F470_001_R_TC_46/1000,2155,857,100/pct:40/0/default.jpg",,470,1 R,1000,2155,857,100,
"https://stacks.stanford.edu/image/iiif/bj009wm8755%2F111_210_TC_46/2142,1615,765,202/pct:40/0/default.jpg",,111,210,2142,1615,765,202,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_098_R_TC_46/4505,7947,145,70/pct:40/0/default.jpg",,271,98 R,4505,7947,145,70,
"https://stacks.stanford.edu/image/iiif/vv058df9042%2F033_128_R_TC_46/1495,2445,440,125/pct:40/0/default.jpg",,33,128 R,1495,2445,440,125,
"https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_264_R_TC_46/2255,5580,1197,212/pct:40/0/default.jpg",,484,264 R,2255,5580,1197,212,
"https://stacks.stanford.edu/image/iiif/fn354xs7634%2F004_165_V_TC_46/5170,2570,172,72/pct:40/0/default.jpg",,4,165 V,5170,2570,172,72,
"https://stacks.stanford.edu/image/iiif/rk793ps8480%2F276_096_R_TC_46/1805,1365,1445,122/pct:40/0/default.jpg",,276,96 R,1805,1365,1445,122,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_009_V_TC_46/4637,5595,292,80/pct:40/0/default.jpg",,271,9 V,4637,5595,292,80,
"https://stacks.stanford.edu/image/iiif/kh542wm7507%2F337_187_R_TC_46/3875,5350,867,160/pct:40/0/default.jpg",,337,187 R,3875,5350,867,160,
"https://stacks.stanford.edu/image/iiif/ky226pt1201%2F406_095_V_TC_46/2362,3860,167,82/pct:40/0/default.jpg",,406,95 V,2362,3860,167,82,
"https://stacks.stanford.edu/image/iiif/ky226pt1201%2F406_024_R_TC_46/3272,927,227,92/pct:40/0/default.jpg",,406,24 R,3272,927,227,92,
"https://stacks.stanford.edu/image/iiif/xr745mn3815%2F480_222_V_TC_46/1850,457,520,177/pct:40/0/default.jpg",,480,222 V,1850,457,520,177,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_268_V_TC_46/547,1537,1400,120/pct:40/0/default.jpg",,271,268 V,547,1537,1400,120,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_026_R_TC_46/3122,917,155,65/pct:40/0/default.jpg",,55,26 R,3122,917,155,65,
"https://stacks.stanford.edu/image/iiif/cy895rg0439%2F047_94_R_TC_46/212,5390,735,197/pct:40/0/default.jpg",,47,94 R,212,5390,735,197,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_002_V_TC_46/3705,2102,832,77/pct:40/0/default.jpg",,75,2 V,3705,2102,832,77,
"https://stacks.stanford.edu/image/iiif/gs070yh9296%2F339_ii_V_TC_46/1850,4210,1007,100/pct:40/0/default.jpg",,339,ii V,1850,4210,1007,100,
"https://stacks.stanford.edu/image/iiif/bx369vf7033%2F288_75_V_TC_46/5282,1700,455,205/pct:40/0/default.jpg",,288,75 V,5282,1700,455,205,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_072_TC_46/4437,3720,837,137/pct:40/0/default.jpg",,51,72,4437,3720,837,137,
"https://stacks.stanford.edu/image/iiif/zp389vb9685%2F228_027_V_TC_46/3415,2025,437,152/pct:40/0/default.jpg",,228,27 V,3415,2025,437,152,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_303_R_TC_46/1927,2837,355,112/pct:40/0/default.jpg",,10,303 R,1927,2837,355,112,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_107_R_TC_46/3747,1562,230,97/pct:40/0/default.jpg",,49,107 R,3747,1562,230,97,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_004_R_TC_46/2157,4680,342,97/pct:40/0/default.jpg",,75,4 R,2157,4680,342,97,
"https://stacks.stanford.edu/image/iiif/mt087kd8953%2F320_041_V_TC_46/2690,432,435,180/pct:40/0/default.jpg",,320,41 V,2690,432,435,180,
"https://stacks.stanford.edu/image/iiif/wg555fw2314%2F330_126_V_TC_46/1535,1480,407,147/pct:40/0/default.jpg",,330,126 V,1535,1480,407,147,
"https://stacks.stanford.edu/image/iiif/vw680fn2153%2F187_046_R_TC_46/2485,1532,620,115/pct:40/0/default.jpg",,187,46 R,2485,1532,620,115,
"https://stacks.stanford.edu/image/iiif/qv912yv7154%2F229_28_R_TC_46/1255,3170,1440,125/pct:40/0/default.jpg",,229,28 R,1255,3170,1440,125,
"https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_165_R_TC_46/767,2895,227,92/pct:40/0/default.jpg",,130,165 R,767,2895,227,92,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_266_R_TC_46/1877,4880,272,117/pct:40/0/default.jpg",,10,266 R,1877,4880,272,117,
"https://stacks.stanford.edu/image/iiif/fz541vq7367%2F164_48_V_TC_46/3187,2020,705,82/pct:40/0/default.jpg",,164,48 V,3187,2020,705,82,
"https://stacks.stanford.edu/image/iiif/jy445fd9276%2F277_123_V_TC_46/2467,4397,255,82/pct:40/0/default.jpg",,277,123 V,2467,4397,255,82,
